"abstractId","title","publisher","abstract","pmid","year","month"
"256","Implementation and evaluation of a performance improvement intervention to address physician documentation deficiencies in abdominal ultrasound.","Ultrasound quarterly","PURPOSE: For ultrasound reports to meet criteria for coding as abdomen complete (USABC), 8 elements are required: liver, bile ducts, gallbladder, spleen, kidneys, pancreas, inferior vena cava (IVC), and aorta. Failure to document all 8 results in coding as ultrasound abdomen limited. The purposes of our study were to identify deficiencies in documentation, implement a performance improvement intervention to address deficiencies, and evaluate the intervention.<br />METHODS: In the first phase, 50 consecutive USABC reports performed as part of routine medical care were retrospectively analyzed for the presence or absence of the 8 elements required for USABC coding. Subsequently, education regarding current procedural terminology coding in abdominal ultrasound and standardized macros was provided to radiologists. In the second, postintervention phase, an additional 50 consecutive USABC reports were analyzed for the presence or absence of the 8 elements.<br />RESULTS: In the first phase, none (0%) of 50 reports met criteria for USABC. The most commonly omitted elements were IVC (present in 2% of reports) and aorta (present in 6%). After intervention, there was an increase to 37 reports (74%) meeting criteria for USABC. The most commonly omitted elements were IVC (present in 76%) and aorta (present in 86%). Lack of 100% compliance was secondary to failure to update a macro and inaccurately scheduled studies (focused right lower quadrant/appendicitis study scheduled as USABC).<br />CONCLUSIONS: We improved USABC documentation from 0% to 74%. Our compliance rate after intervention was similar to the 75.1% of previously published larger studies. Our study illustrates the efficacy of simple performance improvement interventions to improve abdominal ultrasound documentation.","24850025","2014","6"
"257","Endosonography For Right-sided and Acute Upper Intestinal Misery: the EFRAIM study: A prospective, randomized, controlled, blinded study.","United European gastroenterology journal","BACKGROUND: Acute upper abdominal pain is a frequent symptom leading to hospital admission.<br />OBJECTIVE: To determine whether a primary intra- and extraluminal diagnostic approach enabled by endoscopic ultrasound is as effective as a conventional diagnostic algorithm of transabdominal ultrasound followed by oesophagogastroduodenoscopy.<br />METHODS: A total of 240 patients who presented with acute right-sided and/or upper abdominal pain were prospectively recruited. Exclusion criteria were chronic pain, malignancy, prior abdominal surgery, bleeding, peritonitis, and elevated liver enzymes or lipase as defined 3-times higher than upper reference value. All patients underwent first transabdominal ultrasound and were then randomized (1â€‰:â€‰1) to either endoscopy followed by endoscopic ultrasound or vice versa. Patients and respective examiners were blinded to prior findings.<br />RESULTS: A total of 223 patients were included. Endoscopic ultrasound provided a higher diagnostic yield than the combination of transabdominal ultrasound and endoscopy (62.3 vs. 50.7%; pâ€‰=â€‰0.001). For mucosal/intraluminal lesions, we observed a very good agreement between both endoscopic modalities (kappa 0.89). The agreement for pancreatic and biliary causes was good between both ultrasound modalities (kappa 0.66).<br />CONCLUSIONS: Due to its high diagnostic yield, endoscopic ultrasound as a primary diagnostic modality appears to be a valuable option in patients with acute upper abdominal pain.","24917980","2013","10"
"258","Appendectomy in women. Is the laparoscopic approach always better than the \"open\" approach in uncomplicated appendicitis?","Surgical laparoscopy, endoscopy & percutaneous techniques","BACKGROUND: Acute appendicitis is the most common emergency in abdominal surgery, but remains a continuing controversy regarding the most appropriate method of removing the inflamed appendix.<br />MATERIALS AND METHODS: From January 2002 to December 2012, 1037 women underwent appendectomy (average age: 25Â±15.7 y; range: 6 to 91 y). Of these, 519 underwent open appendectomy (OA) and 518 underwent laparoscopic appendectomy (LA). For all the patients we determined the postoperative hospital stay, the eventual readmissions within 30 days after discharge, the length of surgical procedures (data were available only for the period from January 2008 to December 2012), the costs for the OA and LA, and the rate of negative appendicitis.<br />RESULTS: In our cohort of patients, 189 women (18.2%) had a negative appendectomy. Considering the postoperative hospital stay (average: 4.2Â±3.6 d; range: 1 to 32 d in OA group and average: 3.9Â±3.1 d; range: 1 to 21 d in LA group; P=0.15) there were no statistical differences between 2 groups. The average length of surgical procedures in LA group was 42.3Â±18.4 minutes (range: 8 to 135 min) and 43.2Â±19 minutes in the OA group (range: 10 to 135 min) (P=0.63). The average net cost of LA was 1203.61 euros, whereas for OA it was 95.18 euros. In this study, we considered only the surgical materials.<br />CONCLUSIONS: LAs are not associated with a lower complication rate than the OAs and, above all, LAs are more expensive than OAs. Also we believe that laparoscopic approach should be used only in case of unclear abdominal pain and not for the treatment of clear acute and uncomplicated appendicitis.","24910936","2014","10"
"259","A model to select patients who may benefit from antibiotic therapy as the first line treatment of acute appendicitis at high probability.","Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract","BACKGROUND: Randomized studies indicated that 88-95% of patients with acute appendicitis recover on antibiotics without surgery, although it is unclear which patient would benefit with high probability on antibiotics. We hypothesized that patients with phlegmonous appendicitis should be a group where antibiotics may be a sufficient treatment. Accordingly, our aim was to propose a model to support treatment application for unselected patients with acute appendicitis.<br />METHODS: Retrospective analyses of preoperative clinical and laboratory variables in 384 consecutive adult patients, who underwent appendectomy with histological examination of the appendix, were evaluated by logistic regressions. The proposed mathematical model was then evaluated on a prospectively collected population based material of 581 consecutive patients offered antibiotics as their first line treatment of acute appendicitis.<br />RESULTS: Patients with assumed appendicitis who fulfilled all criteria with CRP <60 g/L, WCC <12â€‰Ã—â€‰10(9)/L, and age <60 years had 89% probability to have phlegmonous appendicitis. When these criteria were applied retrospectively on a prospective material, 88% of operated patients had phlegmonous inflammation and 89% had recovered on antibiotics without surgery.<br />CONCLUSION: Standard clinical and laboratory tests are individually weak predictors of phlegmonous appendicitis, but can be used in combinations as a bedside instrument to select patients suitable for antibiotic therapy.","24263678","2014","5"
"260","Impact of an acute care surgery model on appendicectomy outcomes.","ANZ journal of surgery","BACKGROUND: Monash Medical Centre introduced the acute surgical unit (ASU) in July 2011. The ASU is modelled on the concept of acute care surgery (ACS). This study reviews the impact of the ASU on the outcomes in an appendicectomy population.<br />METHODS: A retrospective review of all patients (aged 16-99 years) who underwent appendicectomies in the 2-year study time frame (from July 2010 to June 2012) at our centre was performed. The cohort (n = 539) was divided into two groups for analysis: the ASU group, patients admitted on or after 18 July 2011 (n = 283), and the control group, patients admitted prior to 18 July 2011 (n = 256).<br />RESULTS: Median time to operation (1129 min versus 1080 min, P = 0.963) and negative appendicectomy rate (24.2% versus 24.8%, P = 0.871) were similar in both groups. The proportion of operations performed overnight (18.00-08.00 hours) was significantly decreased in the ASU group (17.1% versus 30.7%, P < 0.001). Perforation rate was marginally higher in the ASU group (17.8% versus 11.8%, P = 0.053) but failed to reach statistical significance. There was an increase in the usage of preoperative imaging (40.3% versus 30.5%, P = 0.018) in the ASU group. Operating times, length of stay, laparoscopic-to-open conversion and surgical site infection rates remained similar.<br />CONCLUSION: We conclude that implementation of an ACS model does not lead to objective differences in outcome for patients after appendicectomy. However, the ACS model significantly decreased the number of operations performed after-hours.","24099125","2013","10"
"261","Role of preoperative sonography in the diagnosis and pathologic staging of pseudomyxoma peritonei.","Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine","OBJECTIVES: The purpose of this study was to analyze the sonographic features of pseudomyxoma peritonei and the ability of preoperative sonography to assess the pathologic grades of this disease.<br />METHODS: Nineteen patients with pseudomyxoma peritonei who underwent preoperative sonographic examinations were included (9 male and 10 female; age range, 31-70 years). Four patients presented with disseminated peritoneal adenomucinosis, 7 with peritoneal mucinous carcinomatosis with intermediate or discordant features (intermediate-grade disease), and 8 with peritoneal mucinous carcinomatosis. The sonographic characteristics, clinical features, and serum tumor marker levels were recorded and compared among the 3 grades.<br />RESULTS: Clinical symptoms and carcinoembryonic antigen, cancer antigen 125 (CA-125), CA-19-9, CA-724, and CA-153 levels were not significantly different among the 3 pathologic grades (P > .05). Ascites, scalloping of the visceral margin, invasive parenchymal nodules, and peritoneal masses were detected in all grades. Disseminated peritoneal adenomucinosis occurred without the finding of an omental cake. The presence of enlarged lymph nodes was more common in peritoneal mucinous carcinomatosis. The diagnosis of pseudomyxoma peritonei was made by preoperative sonography in 1 case. Four cases were diagnosed as ovarian mucinous cystadenoma with rupture. One case was diagnosed as a mucinous appendiceal cyst. Four cases were diagnosed as ascites or encapsulated effusion. One case was misdiagnosed as lymphoma. The others were diagnosed as celiac masses.<br />CONCLUSIONS: Preoperative sonography can be used to diagnose pseudomyxoma peritonei as long as radiologists are familiar with the imaging features. Although there are overlaps in the sonographic findings among the different grades, some features may aid in separating them.","23980216","2013","9"
"262","Appendicitis in adults with incidental midgut malrotation: CT findings.","Clinical radiology","AIM: To report the computed tomography (CT) findings of acute and complicated appendicitis in adults with incidental midgut malrotation.<br />MATERIALS AND METHODS: The medical records and CT studies of eight patients with appendicitis and incidental midgut malrotation who presented to two medical centres between 1998 and 2009 were reviewed.<br />RESULTS: All patients presented with 1-5 days of acute abdominal pain, which was diffuse in two, left-sided in two, lower abdominal in two, and in the right lower quadrant in two patients. The inflamed appendix was right-sided in three, left-sided in three, and in the midline in two patients. Three cases were complicated by a peri-appendicular abscess, and one patient also had a small bowel obstruction. All patients had a complete non-rotation with right-sided duodenum and jejunum, and left-sided colon. All eight patients had an abnormal superior mesenteric artery-superior mesenteric vein (SMA/SMV) relationship and a dysplastic uncinate process of the pancreas. Urgent surgery was performed in six patients and the remaining two were treated conservatively.<br />CONCLUSION: Altered anatomy in malrotation affects the typical clinical and CT findings of acute appendicitis, therefore delaying diagnosis. When CT shows focal inflammation anywhere within the abdomen, along with an abnormal SMA/SMV relationship, the position of the caecum should be ascertained and acute appendicitis ruled out.","23937823","2013","12"
"263","Neutrophil-to-lymphocyte ratio as a predictor of acute appendicitis.","Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES","BACKGROUND: Accurately diagnosing appendicitis can be difficult. This retrospective study aimed to evaluate the ability of the neutrophil-to-lymphocyte ratio (NLR) to predict acute appendicitis pre-operatively and to differentiate between simple and complicated appendicitis.<br />METHODS: A database of 1067 patients who underwent surgery was evaluated. Based on postoperative histopathological examination, the patients were divided into two groups: acute appendicitis (G1) and normal appendix (G2). Patients in the acute appendicitis group were further divided into two subgroups: simple appendicitis (G1a) and complicated (gangrenous and perforated) appendicitis (G1b).<br />RESULTS: G1 included 897 patients and G2 included 170 patients. Among the 897 G1 patients, there were 753 G1a patients and 144 G1b patients. A NLR of 4.68 was associated with acute appendicitis (G1 vs G2, p<0.001). The sensitivity and specificity were 65.3% and 54.7%, respectively. A NLR of 5.74 was associated with complicated appendicitis (G1a vs G1b, p<0.001). The sensitivity and specificity of the two clinical features were 70.8% and 48.5%, respectively.<br />CONCLUSION: We suggest that preoperative NLR is a useful parameter to aid in the diagnosis of acute appendicitis and differentiate between simple and complicated appendicitis, and can be used as an adjunct to the clinical examination.","24639310","2014","1"
"264","The diagnostic value of a panel of serological markers in acute appendicitis.","Scandinavian journal of surgery : SJS : official organ for the Finnish Surgical Society and the Scandinavian Surgical Society","BACKGROUND: Appendicitis is a frequent reason for hospital admissions. Elevated C-reactive protein, white blood cell count, and serum bilirubin have been suggested as individual markers for appendicitis and appendiceal perforation. The aim of this study was to analyze if a combination of serologic markers could increase the prognostic accuracy of diagnosing non-perforated and perforated appendicitis.<br />MATERIAL AND METHODS: Demographic data, histological findings, blood tests, and clinical symptoms were collected on all patients who underwent a diagnostic laparoscopy, a laparoscopic appendectomy, or conventional (open) appendectomy between May 2009 and May 2012 from a surgical department. The patients were grouped into those with either perforated appendicitis, non-perforated appendicitis, or differential diagnosis. Univariate and multivariate models were used to identify which markers were useful in predicting acute and perforated appendicitis, and receiving operating characteristics curves were used to find the specificity, sensitivity, and the negative and positive predictive values.<br />RESULTS: A total of 1008 patients were operated under suspicion of appendicitis. From these, 700 patients had a pathologically verified inflamed appendix and 190 had a perforated appendix. Patients with acute appendicitis had significantly higher blood levels of white blood cell, bilirubin, C-reactive protein, and alanine transaminase than patients without appendicitis. Patients with perforated appendicitis had significantly higher levels of white blood cell, bilirubin, and C-reactive protein than patients with non-perforated appendicitis. The highest positive predictive value to discriminate between acute appendicitis and non-appendicitis was of a linear regression model combining white blood cell count, bilirubin, and alanine transaminase. C-reactive protein levels and a linear regression model, including white blood cell count, bilirubin, and C-reactive protein levels as variables, had the highest negative predictive values when discriminating between perforated and non-perforated appendicitis.<br />CONCLUSION: Combining blood markers was useful in predicting appendicitis and perforated appendicitis. In addition to C-reactive protein and white cell count, blood levels of bilirubin, and alanine transaminase may be useful.","24737847","2014","4"
"265","Emergency right hemicolectomy for inflammatory cecal masses mimicking acute appendicitis.","World journal of emergency surgery : WJES","BACKGROUND: Unexpected inflammatory cecal masses of uncertain etiology, encountered in the emergency surgical departments can be indistinguishable, and appropriate operative management of these cases is a dilemma for the surgeons.<br />METHODS: Over a 30-months period between January 2009 and June 2011, a series of 3032 patients who live in sub-urban underwent emergency surgery for clinical diagnosis of acute appendicitis and ileocecal resection or right hemicolectomy for inflammatory cecal mass were performed in 48 patients.<br />RESULTS: 28 men and 20 women from suburban between ages 16-73 presented with right iliac fossa pain. The major presenting symptom was pain in the right iliac fossa (100%). On physical examination; tenderness at or near the McBurney point was detected in 44 (91,6%) patients. The range of the leucocyte level was between 8.000 to 24.000 and mean level is 16.000. After initial laparoscopic exploration, ileocecal resection or right hemicolectomy was performed conservatively because of the uncertainty of the diagnosis. Overall 32 patients underwent ileocecal resection and 16 patients underwent right hemicolectomy. Pathology revealed appendicular phlegmon in 18 patients, perforated cecal diverticulitis in 12 patients, tuberculosis in 6 patients, appendiceal and cecal rupture in 4 patients, malign mesenquimal neoplasm in 4 patients, non-spesific granulomatous in 2 patients and appendecular endometriosis in 2 patients.<br />CONCLUSION: Most inflammatory cecal masses are due to benign pathologies and can be managed safely and sufficiently with ileocecal resection or right hemicolectomy. The choice of the surgical procedure depends on the experience of the surgical team.","24438756","2014",\N
"266","Hyperbilirubinaemia a predictive factor for complicated acute appendicitis: a study in a tertiary care hospital.","JPMA. The Journal of the Pakistan Medical Association","OBJECTIVE: To study the role of hyperbilirubinaemia as a predictive factor for appendiceal perforation in acute appendicitis.<br />METHODS: The prospective, descriptive study was conducted at the Abbasi Shaheed Hospital and the Karachi Medical and Dental College, Karachi, from January 2010 to June 2012. It comprised all patients coming to the surgical outpatient department and emergency department with pain in the right iliac fossa with duration less than seven days. They were clinically assessed for signs and symptoms of acute appendicitis and relevant tests were conducted. Patients were diagnosed as a case of acute appendicitis on the basis of clinical and ultrasound findings, and were prepared for appendicectomy. Per-operative findings were recorded and specimens were sent for histopathology to confirm the diagnosis. SPSS version 10 was used to analyse the data.<br />RESULTS: Of the 71 patients, 37 (52.10%) were male and 34 (47.90%) were female. The age range was 3-57 years, and most of the patients (n = 33; 46.5%) were between 11 and 20 years. Besides, 63 (89%) patients had pain in the right iliac fossa of less than four-days duration, while 8 (11%) had pain of longer duration.Total leukocyte count was found to be elevated in 33 (46.5%) patients, while total serum bilirubin was elevated in 41 (57.70%). Ultrasound of abdomen showed 9 (12.70%) patients having normal appearance of appendix and 59 (83.30%) had inflamed appendix. Four (5.60%) patients had no signs of inflammation on naked eye appearance per operatively. Histopathology of appendix showed 10 (14.10%) patients had non-inflammatory appendix.<br />CONCLUSION: Patients with signs and symptoms of acute appendicitis and a raised total serum bilirubin level indicated a complication of acute appendicitis requiring an early intervention to prevent peritonitis and septicaemia. A raised serum bilirubin level is a good indicator of complicated acute appendicitis, and should be included in the assessment of patients with suspected complicated acute appendicitis.","24392522","2013","11"
"267","Abdominal ultrasound is specific but insufficiently sensitive in diagnosing appendicitis.","The Journal of pediatrics",\N,"24560323","2014","3"
"268","Location of the appendix in the gravid patient.","The Journal of emergency medicine","BACKGROUND: Several studies have attempted to support or dispel the teaching of appendix movement away from the right lower quadrant (RLQ) during pregnancy with contradictory results.<br />OBJECTIVE: This study investigated the location of the appendix in the gravid patient in an emergency department (ED) setting using computed tomography (CT).<br />METHODS: This was a retrospective chart review of consecutive gravid patients presenting to the ED for trauma who required abdominal CT. The patient population was obtained using the Vidant Medical Center Trauma Registry from January 1, 2000 to December 31, 2006. The abdomen was divided into nine regions using the mid-clavicular lines, superior anterior iliac spine, and umbilicus. A single Board-certified radiologist determined the region location of the appendix.<br />RESULTS: Forty-five patients were identified and 35 were studied. Ten patients were excluded due to appendix not identified, unknown gestational age, or inability to review the CT study. In 21 of 22 third-trimester pregnancies, the appendix was not found in the right lower region (RLR), which corresponded to the RLQ. All 11 patients in the second trimester did not have the appendix in the RLR. Two patients were identified in the first trimester and neither appendix was found in the RLR.<br />CONCLUSIONS: The appendix in the gravid patient was not found in the RLR with increasing frequency as pregnancy progressed.","24484624","2014","5"
"269","Different urinalysis appearances in children with simple and perforated appendicitis.","The American journal of emergency medicine","PURPOSE: This study aimed to determine whether routine urinalysis may serve as a tool in discriminating between acute appendicitis and perforated appendicitis in children.<br />BASIC PROCEDURES: We prospectively collected 357 patients with clinically suspected acute appendicitis. Urinalysis was performed in patients with clinically suspected acute appendicitis before surgical intervention. Routine urinalysis is composed of 2 examinations: chemical tests for abnormal chemical constituents and microscopic tests for abnormal insoluble constituents. Receiver operating characteristic curves for urine white blood cell (WBC) counts and urine red blood cell (RBC) counts in distinguishing between patients with simple appendicitis and patients with perforated appendicitis were also analyzed.<br />MAIN FINDINGS: Urine ketone bodies, leukocyte esterase, specific gravity, pH, WBC, and RBC counts were all significant parameters among patients with normal appendices, simple appendicitis, and perforated appendicitis (all P < .05). Based on multivariate logistic regression analysis, positive urine ketone bodies and nitrate were significant parameters in predicting perforated appendicitis (P = .002 and P = .008, respectively). According to the results of receiver operating characteristic curves, the appropriate cutoff values were 2.0/high-power field for urine RBC counts and 4.0/high-power field for urine WBC counts in predicting perforated appendicitis in children.<br />PRINCIPAL CONCLUSIONS: Routine urinalysis may serve to aid in discriminating between simple and perforated appendicitis. Clinically, we believe that these urine parameters may aid primary emergency physicians with decision making in patients with clinically suspected appendicitis.","24055480","2013","11"
"270","The impact of an acute care surgery clinical care pathway for suspected appendicitis on the use of CT in the emergency department.","Canadian journal of surgery. Journal canadien de chirurgie","BACKGROUND: The natural evolution of an acute care surgery (ACS) service is to develop disease-specific care pathways aimed at quality improvement. Our primary goal was to evaluate the implementation of an ACS pathway dedicated to suspected appendicitis on patient flow and the use of computed tomography (CT) in the emergency department (ED).<br />METHODS: All adults within a large health care system (3 hospitals) with suspected appendicitis were analyzed during our study period, which included 3 time periods: pre- and postimplementation of the disease-specific pathway and at 12-month follow-up.<br />RESULTS: Of the 1168 consultations for appendicitis that took place during our study period, 349 occurred preimplementation, 392 occurred postimplementation, and 427 were follow-up visits. In all, 877 (75%) patients were admitted to the ACS service. Overall, 83% of patients underwent surgery within 6 hours. The mean wait time from CT request to obtaining the CT scan decreased with pathway implementation at all sites (197 v. 143 min, p < 0.001). This improvement was sustained at 12-month followup (131 min, p < 0.001). The pathway increased the number of CTs completed in under 2 hours from 3% to 42% (p < 0.001). No decrease in the total number of CTs or the pattern of ultrasonography was noted (p = 0.42). Wait times from ED triage to surgery were shortened (665 min preimplementation, 633 min postimplementation, 631 min at the 12-month follow-up, p = 0.040).<br />CONCLUSION: A clinical care pathway dedicated to suspected appendicitis can decrease times to both CT scan and surgical intervention.","24869612","2014","6"
"271","Comparison of clinical outcomes of open, laparoscopic and single port appendicectomies.","Annals of the Royal College of Surgeons of England","INTRODUCTION: Appendicectomy is the most common surgical procedure performed in general surgery. This study aimed to compare the outcomes of open appendicectomy (OA), laparoscopic appendicectomy (LA) and single port laparoscopic appendicectomy (SPLA).<br />METHODS: Fifty consecutive patients with suspected acute appendicitis were studied (OA: n=20, LA: n=20, SPLA: n=10). Clinical outcomes were compared between the three groups in terms of operative time, blood loss, postoperative complications, length of hospital stay and cost.<br />RESULTS: Patient demographics were similar among groups (p>0.05). SPLA was characterised by longer operative time (88.1 minutes vs 35.6 minutes in OA and 33.4 minutes in LA) and higher costs (12.84 thousand Chinese yuan [RMB] vs 8.41 thousand RMB in LA and 4.99 thousand RMB in OA). OA was characterised by more blood loss (9.8ml vs 7.5ml in SPLA and 6.8ml in LA), longer hospital stay (7.5 days vs 3.5 days in LA and 3.4 days in SPLA) and lower costs. The total number of complications was higher for OA (n=2) than for LA and SPLA (n=0) although this was not statistically significant.<br />CONCLUSIONS: Where feasible, LA should be undertaken as the initial treatment of choice for most cases of suspected appendicitis.","24112490","2013","10"
"272","Granulomatous appendicitis in children: a single institutional experience.","African journal of paediatric surgery : AJPS","BACKGROUND: Granulomatous appendicitis (GA) is a rare entity, mostly mentioned in adults. There have been anecdotal case reports describing GA in the paediatric population. This study was aimed at reviewing the cases of appendectomies to assess the incidence and characteristics of GA in children in a tertiary care University hospital.<br />MATERIALS AND METHODS: Records of children (<13 years age) with biopsy proven granulomatous lesions in the appendectomy specimen, treated during 1991-2011, were analysed. Data regarding demography, clinical presentation, radiological findings, intra-operative finding, histology, diagnosis and follow-up were recorded and descriptively analysed.<br />RESULTS: Twelve out of 1150 (1.04%) appendectomies were biopsy proven GA. Male to female ratio was 8:4. Four had Yersinia enterocolitis, two had Crohn's disease (CD; one isolated Crohn's Appendicitis, one Ileo-cecal Crohn' with appendicitis) and five were idiopathic. Remaining one case, initially diagnosed as idiopathic GA, developed full blown ileo-cecal CD at 2 nd month post-operative. Age ranged between 4 and 11 years with inflammatory bowel disease (IBD) affecting older children and Yersinia, seen in younger children. Majority (10/12) remained asymptomatic at a maximum of 5 years of follow-up. Two patients had recurrent symptoms; one with sub-acute obstruction (2 years follow-up) and another with flaring of Crohn's ileitis (2 months follow-up).<br />CONCLUSIONS: GA in children is a rare entity, with incidence of 1.04% and male preponderance in our series. Idiopathic causes were the most common followed by Yersinia enterocolitis and CD. Although majority remained asymptomatic, IBD should be ruled out in case of recurrence of pain or alteration of bowel habit. Therefore, a long-term follow-up (at least for 5 years) of idiopathic GA is suggested in children.","24647289",\N,\N
"273","Comments and question regarding 'Beyond acute appendicitis: imaging of additional pathologies of the pediatric appendix'.","Pediatric radiology",\N,"23703226","2013","8"
"274","[What imaging to choose for low abdominal pain?].","Revue mÃ©dicale suisse","Nowadays, we need to counterbalance the excellent diagnostic yield of the abdominal CT Scan, with the significant risks of X irradiation. The Low Dose CT Scan allows confirmation of a diagnosis of appendicitis or nephrolithiasis with comparable precision and a much lower irradiation dose. In the case of appendicitis, the ultrasound is particularly useful, provided that the patient's BMI is <30. If there is suspicion of diverticulitis, the standard CT Scan remains the first line test. The Ultrasound is the first choice exam for a woman in childbearing age presenting with an acute abdominal pain.","24163878","2013","9"
"275","Routine histopathologic examination of two common surgical specimens-appendix and gallbladder: is it a waste of expertise and hospital resources?","The Indian journal of surgery","This study was undertaken to assess whether a routine histopathologic examination of two common surgical specimens (appendix and gallbladder) is needed and whether routine histopathologic examination has an impact on further management of patients. Histopathology reports of patients who had undergone appendicectomy and cholecystectomy, between 2006 and 2010, were analyzed retrospectively in the department of pathology of a tertiary care hospital. The case notes were retrieved in all cases of malignancies. Patients having a clinical diagnosis or suspicion of malignancy were excluded. The incidence and impact of unexpected pathologic diagnosis on postoperative management were noted. The study period included a total of 1,123 and 711 appendicectomy and cholecystectomy specimens, respectively. Fifteen (1.336Â %) cases of appendicectomy specimens revealed incidental unexpected pathological diagnoses, which included tubercular appendicitis (nâ€‰=â€‰2), parasite (nâ€‰=â€‰8), neuroma (nâ€‰=â€‰1), carcinoid (nâ€‰=â€‰2), pseudomyxoma (nâ€‰=â€‰1), and adenocarcinoma (nâ€‰=â€‰1). About 88Â % of such unexpected appendiceal findings had an impact on postoperative treatment. Unexpected pathologic gallbladder findings were found in 12 (1.68Â %) of 711 cholecystectomy specimens. In 6 (0.84Â %) cases, gallbladder cancer (GBC) was detected. Additional further management was required in 50Â % of patients with unexpected gallbladder findings. Twenty of the total 1,834 specimens (1.090Â %) had an impact on patient management or outcome and were not suspected on macroscopic examination at the time of surgery. These would have been missed had the specimens not been examined microscopically. The intraoperative diagnosis of the surgeon is therefore sometimes doubtful in detecting abnormalities of the appendix and gallbladder. This study supports the sending of all appendicectomy and cholecystectomy specimens for routine histopathological examination. Appendix and gallbladder should undergo routine histopathological examination. This is important in patients with advanced age and gallstones. Also, it is of great value in identifying unsuspected conditions which require further postoperative management. Selectively sending specimens for histopathological examination can result in reduced workload on the histopathology department without compromising patient safety.","24891777","2014","4"
"276","Diagnosing abdominal tuberculosis in the acute abdomen.","International journal of surgery (London, England)","BACKGROUND: Despite recent improvements in medical treatments, the incidence of abdominal tuberculosis (ATB) in the United Kingdom has increased over the past two decades. This case series examined the difficulties encountered in correctly diagnosing this infection.<br />PATIENTS AND METHODS: A retrospective study was undertaken, reviewing the records of 36 patients diagnosed with ATB from 2000 to 2012 at a district general hospital in outer East London.<br />RESULTS: The commonest presenting feature was abdominal pain in 67% of patients, and the most common sites of infection were the iliocaecal junction and peritoneum, seen in 36.1% and 33.3% respectively. Six patients were initially investigated for Crohn's disease and one for ileitis. The highest disease prevalence was seen in patients born in India and Pakistan, which was 27.8% and 19.4% of patients respectively. Colonoscopy was performed in nine patients, and three of these reported normal findings. The other six reported visible non-specific inflammatory changes. Three patients had abdominal X-rays reported and one patient had an abdominal ultrasound, all of which were normal. An abdominal computerised topography (CT) scan was performed in 26 patients and a chest CT was undertaken in 19 patients. Varying degrees of inflammatory changes were seen in all of the patients who had CT scans. Microbiological culture was positive for Mycobacterium tuberculosis or acid-fast bacilli in 71% of patients.<br />CONCLUSIONS: Abdominal tuberculosis can be very difficult to diagnose as symptoms are non-specific and can mimic other types of granulomatous inflammatory bowel diseases. Radiology appears largely unhelpful due to the non-specificity of any positive imaging findings, and there is a lack of diagnostic procedural and microbiological tests with high specificity and sensitivity. In view of the increasing incidence of tuberculosis in London, there should be a high index of suspicion for ATB in individuals from high-incidence countries who present with non-specific abdominal symptoms.","24560849","2014",\N
"277","[Video-laparoscopic interventions in diagnostics and treatment of torsion and necrosis of appendices epiploica].","Vestnik khirurgii imeni I. I. Grekova","A retrospective analysis of treatment of 82 patients with torsion and necrosis of appendices epiploica was made. The video-laparoscopic surgery of these patients was performed. When the diagnosis is unclear, the differential diagnostics should be made between the appendices epiploica disease and other abdominal diseases using the video-laparoscopy. This method allowed the establishment of the correct diagnosis of torsion and necrosis of appendices epiploica in 95.1% of patients. The laparoscopic treatment was made in 87.8% of cases with minimal quantity of postoperative complications. The video-laparoscopy allowed the detection of accompanying pathology of abdominal organs and performance of the correction by low-invasive method. The need of conversion occurred in 12.2% of patients. Postoperative period was characterized by uneventful recovery, minimal usage of analgesics and antibiotics, early stages of rehabilitation, perfect cosmetic effect in majority of patients.","24738200","2013",\N
"278","Bowel endometriosis: preoperative diagnostic accuracy of 3.0-T MR enterography--initial results.","Radiology","PURPOSE: To prospectively determine the accuracy of 3.0-T magnetic resonance (MR) enterography in the preoperative assessment of deep infiltrating endometriosis (DIE) lesions located in the bowel above the rectosigmoid junction.<br />MATERIALS AND METHODS: Institutional review board approval for this study was obtained, and each patient gave written informed consent. Over 18 months, patients with known pelvic DIE who were scheduled for surgery were recruited. Consecutive patients suspected of having bowel endometriosis above the rectosigmoid junction underwent 3.0-T MR enterography. Two blinded readers independently performed a systematic analysis of nine bowel segments above the rectosigmoid junction. MR images were compared with surgical and pathologic findings. Efficacy parameters were calculated with 95% confidence intervals (CIs). Interobserver agreement was assessed with Îº statistics.<br />RESULTS: Among the 43 patients enrolled in this study, 33 underwent surgery and were included in the final analyses. Sixteen (48%) patients had bowel DIE lesions located above the rectosigmoid junction at surgery and histopathologic examination. Twenty-six lesions were analyzed, including four ileal, two ileocecal, three cecal, three appendicular, and 14 sigmoid colon lesions. For the diagnosis of these lesions, MR imaging showed sensitivities of 92% (95% confidence interval [CI]: 81.7, 100) for reader 1 and 96% (95% CI: 87.1, 100) for reader 2 and specificities of 100% (95% CI: 98.8, 100) for both readers. The Îº value was 0.97.<br />CONCLUSION: These results show 3.0-T MR enterography is accurate in the preoperative diagnosis and mapping of bowel DIE lesions located above the rectosigmoid junction. Online supplemental material is available for this article.","24828001","2014","10"
